"denominazione_regione","Capienza","data"
"Abruzzo",183,2021-07-10
"Basilicata",90,2021-07-10
"Calabria",152,2021-07-10
"Campania",590,2021-07-10
"Emilia-Romagna",747,2021-07-10
"Friuli Venezia Giulia",175,2021-07-10
"Lazio",943,2021-07-10
"Liguria",227,2021-07-10
"Lombardia",1459,2021-07-10
"Marche",196,2021-07-10
"Molise",34,2021-07-10
"Piemonte",628,2021-07-10
"Puglia",452,2021-07-10
"Sardegna",181,2021-07-10
"Sicilia",832,2021-07-10
"Toscana",612,2021-07-10
"Trentino-Alto Adige",167,2021-07-10
"Umbria",130,2021-07-10
"Valle d'Aosta",33,2021-07-10
"Veneto",1000,2021-07-10
"Abruzzo",183,2021-07-11
"Basilicata",90,2021-07-11
"Calabria",152,2021-07-11
"Campania",590,2021-07-11
"Emilia-Romagna",747,2021-07-11
"Friuli Venezia Giulia",175,2021-07-11
"Lazio",943,2021-07-11
"Liguria",227,2021-07-11
"Lombardia",1459,2021-07-11
"Marche",196,2021-07-11
"Molise",34,2021-07-11
"Piemonte",628,2021-07-11
"Puglia",452,2021-07-11
"Sardegna",181,2021-07-11
"Sicilia",832,2021-07-11
"Toscana",612,2021-07-11
"Trentino-Alto Adige",167,2021-07-11
"Umbria",130,2021-07-11
"Valle d'Aosta",33,2021-07-11
"Veneto",1000,2021-07-11
"Abruzzo",183,2021-07-12
"Basilicata",90,2021-07-12
"Calabria",152,2021-07-12
"Campania",590,2021-07-12
"Emilia-Romagna",747,2021-07-12
"Friuli Venezia Giulia",175,2021-07-12
"Lazio",943,2021-07-12
"Liguria",227,2021-07-12
"Lombardia",1459,2021-07-12
"Marche",196,2021-07-12
"Molise",34,2021-07-12
"Piemonte",628,2021-07-12
"Puglia",452,2021-07-12
"Sardegna",181,2021-07-12
"Sicilia",832,2021-07-12
"Toscana",612,2021-07-12
"Trentino-Alto Adige",167,2021-07-12
"Umbria",130,2021-07-12
"Valle d'Aosta",33,2021-07-12
"Veneto",1000,2021-07-12
"Abruzzo",183,2021-07-13
"Basilicata",90,2021-07-13
"Calabria",152,2021-07-13
"Campania",590,2021-07-13
"Emilia-Romagna",747,2021-07-13
"Friuli Venezia Giulia",175,2021-07-13
"Lazio",943,2021-07-13
"Liguria",227,2021-07-13
"Lombardia",1459,2021-07-13
"Marche",196,2021-07-13
"Molise",34,2021-07-13
"Piemonte",628,2021-07-13
"Puglia",452,2021-07-13
"Sardegna",181,2021-07-13
"Sicilia",832,2021-07-13
"Toscana",612,2021-07-13
"Trentino-Alto Adige",167,2021-07-13
"Umbria",130,2021-07-13
"Valle d'Aosta",33,2021-07-13
"Veneto",1000,2021-07-13
"Abruzzo",183,2021-07-14
"Basilicata",90,2021-07-14
"Calabria",152,2021-07-14
"Campania",590,2021-07-14
"Emilia-Romagna",747,2021-07-14
"Friuli Venezia Giulia",175,2021-07-14
"Lazio",943,2021-07-14
"Liguria",227,2021-07-14
"Lombardia",1459,2021-07-14
"Marche",196,2021-07-14
"Molise",34,2021-07-14
"Piemonte",628,2021-07-14
"Puglia",452,2021-07-14
"Sardegna",181,2021-07-14
"Sicilia",832,2021-07-14
"Toscana",612,2021-07-14
"Trentino-Alto Adige",167,2021-07-14
"Umbria",130,2021-07-14
"Valle d'Aosta",33,2021-07-14
"Veneto",1000,2021-07-14
"Abruzzo",183,2021-07-15
"Basilicata",90,2021-07-15
"Calabria",152,2021-07-15
"Campania",590,2021-07-15
"Emilia-Romagna",747,2021-07-15
"Friuli Venezia Giulia",175,2021-07-15
"Lazio",943,2021-07-15
"Liguria",227,2021-07-15
"Lombardia",1459,2021-07-15
"Marche",196,2021-07-15
"Molise",34,2021-07-15
"Piemonte",628,2021-07-15
"Puglia",452,2021-07-15
"Sardegna",181,2021-07-15
"Sicilia",832,2021-07-15
"Toscana",612,2021-07-15
"Trentino-Alto Adige",167,2021-07-15
"Umbria",130,2021-07-15
"Valle d'Aosta",33,2021-07-15
"Veneto",1000,2021-07-15
"Abruzzo",183,2021-07-16
"Basilicata",90,2021-07-16
"Calabria",152,2021-07-16
"Campania",590,2021-07-16
"Emilia-Romagna",747,2021-07-16
"Friuli Venezia Giulia",175,2021-07-16
"Lazio",943,2021-07-16
"Liguria",227,2021-07-16
"Lombardia",1459,2021-07-16
"Marche",196,2021-07-16
"Molise",34,2021-07-16
"Piemonte",628,2021-07-16
"Puglia",452,2021-07-16
"Sardegna",181,2021-07-16
"Sicilia",832,2021-07-16
"Toscana",612,2021-07-16
"Trentino-Alto Adige",167,2021-07-16
"Umbria",130,2021-07-16
"Valle d'Aosta",33,2021-07-16
"Veneto",1000,2021-07-16
"Abruzzo",183,2021-07-17
"Basilicata",90,2021-07-17
"Calabria",152,2021-07-17
"Campania",590,2021-07-17
"Emilia-Romagna",747,2021-07-17
"Friuli Venezia Giulia",175,2021-07-17
"Lazio",943,2021-07-17
"Liguria",227,2021-07-17
"Lombardia",1459,2021-07-17
"Marche",196,2021-07-17
"Molise",34,2021-07-17
"Piemonte",628,2021-07-17
"Puglia",452,2021-07-17
"Sardegna",181,2021-07-17
"Sicilia",832,2021-07-17
"Toscana",612,2021-07-17
"Trentino-Alto Adige",167,2021-07-17
"Umbria",130,2021-07-17
"Valle d'Aosta",33,2021-07-17
"Veneto",1000,2021-07-17
"Abruzzo",183,2021-07-18
"Basilicata",90,2021-07-18
"Calabria",152,2021-07-18
"Campania",590,2021-07-18
"Emilia-Romagna",747,2021-07-18
"Friuli Venezia Giulia",175,2021-07-18
"Lazio",943,2021-07-18
"Liguria",227,2021-07-18
"Lombardia",1459,2021-07-18
"Marche",196,2021-07-18
"Molise",34,2021-07-18
"Piemonte",628,2021-07-18
"Puglia",452,2021-07-18
"Sardegna",181,2021-07-18
"Sicilia",832,2021-07-18
"Toscana",612,2021-07-18
"Trentino-Alto Adige",167,2021-07-18
"Umbria",130,2021-07-18
"Valle d'Aosta",33,2021-07-18
"Veneto",1000,2021-07-18
"Abruzzo",183,2021-07-19
"Basilicata",90,2021-07-19
"Calabria",152,2021-07-19
"Campania",590,2021-07-19
"Emilia-Romagna",747,2021-07-19
"Friuli Venezia Giulia",175,2021-07-19
"Lazio",943,2021-07-19
"Liguria",227,2021-07-19
"Lombardia",1459,2021-07-19
"Marche",196,2021-07-19
"Molise",34,2021-07-19
"Piemonte",628,2021-07-19
"Puglia",452,2021-07-19
"Sardegna",181,2021-07-19
"Sicilia",832,2021-07-19
"Toscana",612,2021-07-19
"Trentino-Alto Adige",167,2021-07-19
"Umbria",130,2021-07-19
"Valle d'Aosta",33,2021-07-19
"Veneto",1000,2021-07-19
"Abruzzo",183,2021-07-20
"Basilicata",90,2021-07-20
"Calabria",152,2021-07-20
"Campania",590,2021-07-20
"Emilia-Romagna",747,2021-07-20
"Friuli Venezia Giulia",175,2021-07-20
"Lazio",943,2021-07-20
"Liguria",227,2021-07-20
"Lombardia",1459,2021-07-20
"Marche",196,2021-07-20
"Molise",34,2021-07-20
"Piemonte",628,2021-07-20
"Puglia",452,2021-07-20
"Sardegna",181,2021-07-20
"Sicilia",832,2021-07-20
"Toscana",612,2021-07-20
"Trentino-Alto Adige",167,2021-07-20
"Umbria",130,2021-07-20
"Valle d'Aosta",33,2021-07-20
"Veneto",1000,2021-07-20
"Abruzzo",183,2021-07-21
"Basilicata",90,2021-07-21
"Calabria",152,2021-07-21
"Campania",590,2021-07-21
"Emilia-Romagna",747,2021-07-21
"Friuli Venezia Giulia",175,2021-07-21
"Lazio",943,2021-07-21
"Liguria",227,2021-07-21
"Lombardia",1459,2021-07-21
"Marche",196,2021-07-21
"Molise",34,2021-07-21
"Piemonte",628,2021-07-21
"Puglia",452,2021-07-21
"Sardegna",181,2021-07-21
"Sicilia",832,2021-07-21
"Toscana",612,2021-07-21
"Trentino-Alto Adige",167,2021-07-21
"Umbria",130,2021-07-21
"Valle d'Aosta",33,2021-07-21
"Veneto",1000,2021-07-21
"Abruzzo",183,2021-07-22
"Basilicata",90,2021-07-22
"Calabria",152,2021-07-22
"Campania",590,2021-07-22
"Emilia-Romagna",747,2021-07-22
"Friuli Venezia Giulia",175,2021-07-22
"Lazio",943,2021-07-22
"Liguria",227,2021-07-22
"Lombardia",1459,2021-07-22
"Marche",196,2021-07-22
"Molise",34,2021-07-22
"Piemonte",628,2021-07-22
"Puglia",452,2021-07-22
"Sardegna",181,2021-07-22
"Sicilia",832,2021-07-22
"Toscana",612,2021-07-22
"Trentino-Alto Adige",167,2021-07-22
"Umbria",130,2021-07-22
"Valle d'Aosta",33,2021-07-22
"Veneto",1000,2021-07-22
"Abruzzo",183,2021-07-23
"Basilicata",90,2021-07-23
"Calabria",152,2021-07-23
"Campania",590,2021-07-23
"Emilia-Romagna",747,2021-07-23
"Friuli Venezia Giulia",175,2021-07-23
"Lazio",943,2021-07-23
"Liguria",227,2021-07-23
"Lombardia",1459,2021-07-23
"Marche",196,2021-07-23
"Molise",34,2021-07-23
"Piemonte",628,2021-07-23
"Puglia",452,2021-07-23
"Sardegna",181,2021-07-23
"Sicilia",832,2021-07-23
"Toscana",612,2021-07-23
"Trentino-Alto Adige",167,2021-07-23
"Umbria",130,2021-07-23
"Valle d'Aosta",33,2021-07-23
"Veneto",1000,2021-07-23
"Abruzzo",183,2021-07-24
"Basilicata",90,2021-07-24
"Calabria",152,2021-07-24
"Campania",590,2021-07-24
"Emilia-Romagna",747,2021-07-24
"Friuli Venezia Giulia",175,2021-07-24
"Lazio",943,2021-07-24
"Liguria",227,2021-07-24
"Lombardia",1459,2021-07-24
"Marche",196,2021-07-24
"Molise",34,2021-07-24
"Piemonte",628,2021-07-24
"Puglia",452,2021-07-24
"Sardegna",181,2021-07-24
"Sicilia",832,2021-07-24
"Toscana",612,2021-07-24
"Trentino-Alto Adige",167,2021-07-24
"Umbria",130,2021-07-24
"Valle d'Aosta",33,2021-07-24
"Veneto",1000,2021-07-24
"Abruzzo",183,2021-07-25
"Basilicata",90,2021-07-25
"Calabria",152,2021-07-25
"Campania",590,2021-07-25
"Emilia-Romagna",747,2021-07-25
"Friuli Venezia Giulia",175,2021-07-25
"Lazio",943,2021-07-25
"Liguria",227,2021-07-25
"Lombardia",1459,2021-07-25
"Marche",196,2021-07-25
"Molise",34,2021-07-25
"Piemonte",628,2021-07-25
"Puglia",452,2021-07-25
"Sardegna",181,2021-07-25
"Sicilia",832,2021-07-25
"Toscana",612,2021-07-25
"Trentino-Alto Adige",167,2021-07-25
"Umbria",130,2021-07-25
"Valle d'Aosta",33,2021-07-25
"Veneto",1000,2021-07-25
"Abruzzo",183,2021-07-26
"Basilicata",90,2021-07-26
"Calabria",152,2021-07-26
"Campania",590,2021-07-26
"Emilia-Romagna",747,2021-07-26
"Friuli Venezia Giulia",175,2021-07-26
"Lazio",943,2021-07-26
"Liguria",227,2021-07-26
"Lombardia",1459,2021-07-26
"Marche",196,2021-07-26
"Molise",34,2021-07-26
"Piemonte",628,2021-07-26
"Puglia",452,2021-07-26
"Sardegna",181,2021-07-26
"Sicilia",832,2021-07-26
"Toscana",612,2021-07-26
"Trentino-Alto Adige",167,2021-07-26
"Umbria",130,2021-07-26
"Valle d'Aosta",33,2021-07-26
"Veneto",1000,2021-07-26
"Abruzzo",183,2021-07-27
"Basilicata",90,2021-07-27
"Calabria",152,2021-07-27
"Campania",590,2021-07-27
"Emilia-Romagna",747,2021-07-27
"Friuli Venezia Giulia",175,2021-07-27
"Lazio",943,2021-07-27
"Liguria",227,2021-07-27
"Lombardia",1459,2021-07-27
"Marche",196,2021-07-27
"Molise",34,2021-07-27
"Piemonte",628,2021-07-27
"Puglia",452,2021-07-27
"Sardegna",181,2021-07-27
"Sicilia",832,2021-07-27
"Toscana",612,2021-07-27
"Trentino-Alto Adige",167,2021-07-27
"Umbria",130,2021-07-27
"Valle d'Aosta",33,2021-07-27
"Veneto",1000,2021-07-27
"Abruzzo",183,2021-07-28
"Basilicata",90,2021-07-28
"Calabria",152,2021-07-28
"Campania",590,2021-07-28
"Emilia-Romagna",747,2021-07-28
"Friuli Venezia Giulia",175,2021-07-28
"Lazio",943,2021-07-28
"Liguria",227,2021-07-28
"Lombardia",1459,2021-07-28
"Marche",196,2021-07-28
"Molise",34,2021-07-28
"Piemonte",628,2021-07-28
"Puglia",452,2021-07-28
"Sardegna",181,2021-07-28
"Sicilia",832,2021-07-28
"Toscana",612,2021-07-28
"Trentino-Alto Adige",167,2021-07-28
"Umbria",130,2021-07-28
"Valle d'Aosta",33,2021-07-28
"Veneto",1000,2021-07-28
"Abruzzo",183,2021-07-29
"Basilicata",90,2021-07-29
"Calabria",152,2021-07-29
"Campania",590,2021-07-29
"Emilia-Romagna",747,2021-07-29
"Friuli Venezia Giulia",175,2021-07-29
"Lazio",943,2021-07-29
"Liguria",227,2021-07-29
"Lombardia",1459,2021-07-29
"Marche",196,2021-07-29
"Molise",34,2021-07-29
"Piemonte",628,2021-07-29
"Puglia",452,2021-07-29
"Sardegna",181,2021-07-29
"Sicilia",832,2021-07-29
"Toscana",612,2021-07-29
"Trentino-Alto Adige",167,2021-07-29
"Umbria",130,2021-07-29
"Valle d'Aosta",33,2021-07-29
"Veneto",1000,2021-07-29
"Abruzzo",183,2021-07-30
"Basilicata",90,2021-07-30
"Calabria",152,2021-07-30
"Campania",590,2021-07-30
"Emilia-Romagna",747,2021-07-30
"Friuli Venezia Giulia",175,2021-07-30
"Lazio",943,2021-07-30
"Liguria",227,2021-07-30
"Lombardia",1459,2021-07-30
"Marche",196,2021-07-30
"Molise",34,2021-07-30
"Piemonte",628,2021-07-30
"Puglia",452,2021-07-30
"Sardegna",181,2021-07-30
"Sicilia",832,2021-07-30
"Toscana",612,2021-07-30
"Trentino-Alto Adige",167,2021-07-30
"Umbria",130,2021-07-30
"Valle d'Aosta",33,2021-07-30
"Veneto",1000,2021-07-30
"Abruzzo",183,2021-07-31
"Basilicata",90,2021-07-31
"Calabria",152,2021-07-31
"Campania",590,2021-07-31
"Emilia-Romagna",747,2021-07-31
"Friuli Venezia Giulia",175,2021-07-31
"Lazio",943,2021-07-31
"Liguria",227,2021-07-31
"Lombardia",1459,2021-07-31
"Marche",196,2021-07-31
"Molise",34,2021-07-31
"Piemonte",628,2021-07-31
"Puglia",452,2021-07-31
"Sardegna",181,2021-07-31
"Sicilia",832,2021-07-31
"Toscana",612,2021-07-31
"Trentino-Alto Adige",167,2021-07-31
"Umbria",130,2021-07-31
"Valle d'Aosta",33,2021-07-31
"Veneto",1000,2021-07-31
"Abruzzo",183,2021-08-01
"Basilicata",90,2021-08-01
"Calabria",152,2021-08-01
"Campania",590,2021-08-01
"Emilia-Romagna",747,2021-08-01
"Friuli Venezia Giulia",175,2021-08-01
"Lazio",943,2021-08-01
"Liguria",227,2021-08-01
"Lombardia",1459,2021-08-01
"Marche",196,2021-08-01
"Molise",34,2021-08-01
"Piemonte",628,2021-08-01
"Puglia",452,2021-08-01
"Sardegna",181,2021-08-01
"Sicilia",832,2021-08-01
"Toscana",612,2021-08-01
"Trentino-Alto Adige",167,2021-08-01
"Umbria",130,2021-08-01
"Valle d'Aosta",33,2021-08-01
"Veneto",1000,2021-08-01
"Abruzzo",183,2021-08-02
"Basilicata",90,2021-08-02
"Calabria",152,2021-08-02
"Campania",590,2021-08-02
"Emilia-Romagna",747,2021-08-02
"Friuli Venezia Giulia",175,2021-08-02
"Lazio",943,2021-08-02
"Liguria",227,2021-08-02
"Lombardia",1459,2021-08-02
"Marche",196,2021-08-02
"Molise",34,2021-08-02
"Piemonte",628,2021-08-02
"Puglia",452,2021-08-02
"Sardegna",181,2021-08-02
"Sicilia",832,2021-08-02
"Toscana",612,2021-08-02
"Trentino-Alto Adige",167,2021-08-02
"Umbria",130,2021-08-02
"Valle d'Aosta",33,2021-08-02
"Veneto",1000,2021-08-02
"Abruzzo",183,2021-08-03
"Basilicata",90,2021-08-03
"Calabria",152,2021-08-03
"Campania",590,2021-08-03
"Emilia-Romagna",747,2021-08-03
"Friuli Venezia Giulia",175,2021-08-03
"Lazio",943,2021-08-03
"Liguria",227,2021-08-03
"Lombardia",1459,2021-08-03
"Marche",196,2021-08-03
"Molise",34,2021-08-03
"Piemonte",628,2021-08-03
"Puglia",452,2021-08-03
"Sardegna",181,2021-08-03
"Sicilia",832,2021-08-03
"Toscana",612,2021-08-03
"Trentino-Alto Adige",167,2021-08-03
"Umbria",130,2021-08-03
"Valle d'Aosta",33,2021-08-03
"Veneto",1000,2021-08-03
"Abruzzo",183,2021-08-04
"Basilicata",90,2021-08-04
"Calabria",152,2021-08-04
"Campania",590,2021-08-04
"Emilia-Romagna",747,2021-08-04
"Friuli Venezia Giulia",175,2021-08-04
"Lazio",943,2021-08-04
"Liguria",227,2021-08-04
"Lombardia",1459,2021-08-04
"Marche",196,2021-08-04
"Molise",34,2021-08-04
"Piemonte",628,2021-08-04
"Puglia",452,2021-08-04
"Sardegna",181,2021-08-04
"Sicilia",832,2021-08-04
"Toscana",612,2021-08-04
"Trentino-Alto Adige",167,2021-08-04
"Umbria",130,2021-08-04
"Valle d'Aosta",33,2021-08-04
"Veneto",1000,2021-08-04
"Abruzzo",183,2021-08-05
"Basilicata",90,2021-08-05
"Calabria",152,2021-08-05
"Campania",590,2021-08-05
"Emilia-Romagna",747,2021-08-05
"Friuli Venezia Giulia",175,2021-08-05
"Lazio",943,2021-08-05
"Liguria",227,2021-08-05
"Lombardia",1459,2021-08-05
"Marche",196,2021-08-05
"Molise",34,2021-08-05
"Piemonte",628,2021-08-05
"Puglia",452,2021-08-05
"Sardegna",181,2021-08-05
"Sicilia",832,2021-08-05
"Toscana",612,2021-08-05
"Trentino-Alto Adige",167,2021-08-05
"Umbria",130,2021-08-05
"Valle d'Aosta",33,2021-08-05
"Veneto",1000,2021-08-05
"Abruzzo",183,2021-08-06
"Basilicata",90,2021-08-06
"Calabria",152,2021-08-06
"Campania",590,2021-08-06
"Emilia-Romagna",747,2021-08-06
"Friuli Venezia Giulia",175,2021-08-06
"Lazio",943,2021-08-06
"Liguria",227,2021-08-06
"Lombardia",1459,2021-08-06
"Marche",196,2021-08-06
"Molise",34,2021-08-06
"Piemonte",628,2021-08-06
"Puglia",452,2021-08-06
"Sardegna",181,2021-08-06
"Sicilia",832,2021-08-06
"Toscana",612,2021-08-06
"Trentino-Alto Adige",167,2021-08-06
"Umbria",130,2021-08-06
"Valle d'Aosta",33,2021-08-06
"Veneto",1000,2021-08-06
"Abruzzo",183,2021-08-07
"Basilicata",90,2021-08-07
"Calabria",152,2021-08-07
"Campania",590,2021-08-07
"Emilia-Romagna",747,2021-08-07
"Friuli Venezia Giulia",175,2021-08-07
"Lazio",943,2021-08-07
"Liguria",227,2021-08-07
"Lombardia",1459,2021-08-07
"Marche",196,2021-08-07
"Molise",34,2021-08-07
"Piemonte",628,2021-08-07
"Puglia",452,2021-08-07
"Sardegna",181,2021-08-07
"Sicilia",832,2021-08-07
"Toscana",612,2021-08-07
"Trentino-Alto Adige",167,2021-08-07
"Umbria",130,2021-08-07
"Valle d'Aosta",33,2021-08-07
"Veneto",1000,2021-08-07
"Abruzzo",183,2021-08-08
"Basilicata",90,2021-08-08
"Calabria",152,2021-08-08
"Campania",590,2021-08-08
"Emilia-Romagna",747,2021-08-08
"Friuli Venezia Giulia",175,2021-08-08
"Lazio",943,2021-08-08
"Liguria",227,2021-08-08
"Lombardia",1459,2021-08-08
"Marche",196,2021-08-08
"Molise",34,2021-08-08
"Piemonte",628,2021-08-08
"Puglia",452,2021-08-08
"Sardegna",181,2021-08-08
"Sicilia",832,2021-08-08
"Toscana",612,2021-08-08
"Trentino-Alto Adige",167,2021-08-08
"Umbria",130,2021-08-08
"Valle d'Aosta",33,2021-08-08
"Veneto",1000,2021-08-08
"Abruzzo",183,2021-08-09
"Basilicata",90,2021-08-09
"Calabria",152,2021-08-09
"Campania",590,2021-08-09
"Emilia-Romagna",747,2021-08-09
"Friuli Venezia Giulia",175,2021-08-09
"Lazio",943,2021-08-09
"Liguria",227,2021-08-09
"Lombardia",1459,2021-08-09
"Marche",196,2021-08-09
"Molise",34,2021-08-09
"Piemonte",628,2021-08-09
"Puglia",452,2021-08-09
"Sardegna",181,2021-08-09
"Sicilia",832,2021-08-09
"Toscana",612,2021-08-09
"Trentino-Alto Adige",167,2021-08-09
"Umbria",130,2021-08-09
"Valle d'Aosta",33,2021-08-09
"Veneto",1000,2021-08-09
"Abruzzo",183,2021-08-10
"Basilicata",90,2021-08-10
"Calabria",152,2021-08-10
"Campania",590,2021-08-10
"Emilia-Romagna",747,2021-08-10
"Friuli Venezia Giulia",175,2021-08-10
"Lazio",943,2021-08-10
"Liguria",227,2021-08-10
"Lombardia",1459,2021-08-10
"Marche",196,2021-08-10
"Molise",34,2021-08-10
"Piemonte",628,2021-08-10
"Puglia",452,2021-08-10
"Sardegna",181,2021-08-10
"Sicilia",832,2021-08-10
"Toscana",612,2021-08-10
"Trentino-Alto Adige",167,2021-08-10
"Umbria",130,2021-08-10
"Valle d'Aosta",33,2021-08-10
"Veneto",1000,2021-08-10
"Abruzzo",183,2021-08-11
"Basilicata",90,2021-08-11
"Calabria",152,2021-08-11
"Campania",590,2021-08-11
"Emilia-Romagna",747,2021-08-11
"Friuli Venezia Giulia",175,2021-08-11
"Lazio",943,2021-08-11
"Liguria",227,2021-08-11
"Lombardia",1459,2021-08-11
"Marche",196,2021-08-11
"Molise",34,2021-08-11
"Piemonte",628,2021-08-11
"Puglia",452,2021-08-11
"Sardegna",181,2021-08-11
"Sicilia",832,2021-08-11
"Toscana",612,2021-08-11
"Trentino-Alto Adige",167,2021-08-11
"Umbria",130,2021-08-11
"Valle d'Aosta",33,2021-08-11
"Veneto",1000,2021-08-11
"Abruzzo",183,2021-08-12
"Basilicata",90,2021-08-12
"Calabria",152,2021-08-12
"Campania",590,2021-08-12
"Emilia-Romagna",747,2021-08-12
"Friuli Venezia Giulia",175,2021-08-12
"Lazio",943,2021-08-12
"Liguria",227,2021-08-12
"Lombardia",1459,2021-08-12
"Marche",196,2021-08-12
"Molise",34,2021-08-12
"Piemonte",628,2021-08-12
"Puglia",452,2021-08-12
"Sardegna",181,2021-08-12
"Sicilia",832,2021-08-12
"Toscana",612,2021-08-12
"Trentino-Alto Adige",167,2021-08-12
"Umbria",130,2021-08-12
"Valle d'Aosta",33,2021-08-12
"Veneto",1000,2021-08-12
"Abruzzo",183,2021-08-13
"Basilicata",90,2021-08-13
"Calabria",152,2021-08-13
"Campania",590,2021-08-13
"Emilia-Romagna",747,2021-08-13
"Friuli Venezia Giulia",175,2021-08-13
"Lazio",943,2021-08-13
"Liguria",227,2021-08-13
"Lombardia",1459,2021-08-13
"Marche",196,2021-08-13
"Molise",34,2021-08-13
"Piemonte",628,2021-08-13
"Puglia",452,2021-08-13
"Sardegna",181,2021-08-13
"Sicilia",832,2021-08-13
"Toscana",612,2021-08-13
"Trentino-Alto Adige",167,2021-08-13
"Umbria",130,2021-08-13
"Valle d'Aosta",33,2021-08-13
"Veneto",1000,2021-08-13
"Abruzzo",183,2021-08-14
"Basilicata",90,2021-08-14
"Calabria",152,2021-08-14
"Campania",590,2021-08-14
"Emilia-Romagna",747,2021-08-14
"Friuli Venezia Giulia",175,2021-08-14
"Lazio",943,2021-08-14
"Liguria",227,2021-08-14
"Lombardia",1459,2021-08-14
"Marche",196,2021-08-14
"Molise",34,2021-08-14
"Piemonte",628,2021-08-14
"Puglia",452,2021-08-14
"Sardegna",181,2021-08-14
"Sicilia",832,2021-08-14
"Toscana",612,2021-08-14
"Trentino-Alto Adige",167,2021-08-14
"Umbria",130,2021-08-14
"Valle d'Aosta",33,2021-08-14
"Veneto",1000,2021-08-14
"Abruzzo",183,2021-08-15
"Basilicata",90,2021-08-15
"Calabria",152,2021-08-15
"Campania",590,2021-08-15
"Emilia-Romagna",747,2021-08-15
"Friuli Venezia Giulia",175,2021-08-15
"Lazio",943,2021-08-15
"Liguria",227,2021-08-15
"Lombardia",1459,2021-08-15
"Marche",196,2021-08-15
"Molise",34,2021-08-15
"Piemonte",628,2021-08-15
"Puglia",452,2021-08-15
"Sardegna",181,2021-08-15
"Sicilia",832,2021-08-15
"Toscana",612,2021-08-15
"Trentino-Alto Adige",167,2021-08-15
"Umbria",130,2021-08-15
"Valle d'Aosta",33,2021-08-15
"Veneto",1000,2021-08-15
"Abruzzo",183,2021-08-16
"Basilicata",90,2021-08-16
"Calabria",152,2021-08-16
"Campania",590,2021-08-16
"Emilia-Romagna",747,2021-08-16
"Friuli Venezia Giulia",175,2021-08-16
"Lazio",943,2021-08-16
"Liguria",227,2021-08-16
"Lombardia",1459,2021-08-16
"Marche",196,2021-08-16
"Molise",34,2021-08-16
"Piemonte",628,2021-08-16
"Puglia",452,2021-08-16
"Sardegna",181,2021-08-16
"Sicilia",832,2021-08-16
"Toscana",612,2021-08-16
"Trentino-Alto Adige",167,2021-08-16
"Umbria",130,2021-08-16
"Valle d'Aosta",33,2021-08-16
"Veneto",1000,2021-08-16
"Abruzzo",183,2021-08-17
"Basilicata",90,2021-08-17
"Calabria",152,2021-08-17
"Campania",590,2021-08-17
"Emilia-Romagna",747,2021-08-17
"Friuli Venezia Giulia",175,2021-08-17
"Lazio",943,2021-08-17
"Liguria",227,2021-08-17
"Lombardia",1459,2021-08-17
"Marche",196,2021-08-17
"Molise",34,2021-08-17
"Piemonte",628,2021-08-17
"Puglia",452,2021-08-17
"Sardegna",181,2021-08-17
"Sicilia",832,2021-08-17
"Toscana",612,2021-08-17
"Trentino-Alto Adige",167,2021-08-17
"Umbria",130,2021-08-17
"Valle d'Aosta",33,2021-08-17
"Veneto",1000,2021-08-17
"Abruzzo",183,2021-08-18
"Basilicata",90,2021-08-18
"Calabria",152,2021-08-18
"Campania",590,2021-08-18
"Emilia-Romagna",747,2021-08-18
"Friuli Venezia Giulia",175,2021-08-18
"Lazio",943,2021-08-18
"Liguria",227,2021-08-18
"Lombardia",1459,2021-08-18
"Marche",196,2021-08-18
"Molise",34,2021-08-18
"Piemonte",628,2021-08-18
"Puglia",452,2021-08-18
"Sardegna",181,2021-08-18
"Sicilia",832,2021-08-18
"Toscana",612,2021-08-18
"Trentino-Alto Adige",167,2021-08-18
"Umbria",130,2021-08-18
"Valle d'Aosta",33,2021-08-18
"Veneto",1000,2021-08-18
"Abruzzo",183,2021-08-19
"Basilicata",90,2021-08-19
"Calabria",152,2021-08-19
"Campania",590,2021-08-19
"Emilia-Romagna",747,2021-08-19
"Friuli Venezia Giulia",175,2021-08-19
"Lazio",943,2021-08-19
"Liguria",227,2021-08-19
"Lombardia",1459,2021-08-19
"Marche",196,2021-08-19
"Molise",34,2021-08-19
"Piemonte",628,2021-08-19
"Puglia",452,2021-08-19
"Sardegna",181,2021-08-19
"Sicilia",832,2021-08-19
"Toscana",612,2021-08-19
"Trentino-Alto Adige",167,2021-08-19
"Umbria",130,2021-08-19
"Valle d'Aosta",33,2021-08-19
"Veneto",1000,2021-08-19
"Abruzzo",183,2021-08-20
"Basilicata",90,2021-08-20
"Calabria",152,2021-08-20
"Campania",590,2021-08-20
"Emilia-Romagna",747,2021-08-20
"Friuli Venezia Giulia",175,2021-08-20
"Lazio",943,2021-08-20
"Liguria",227,2021-08-20
"Lombardia",1459,2021-08-20
"Marche",196,2021-08-20
"Molise",34,2021-08-20
"Piemonte",628,2021-08-20
"Puglia",452,2021-08-20
"Sardegna",181,2021-08-20
"Sicilia",832,2021-08-20
"Toscana",612,2021-08-20
"Trentino-Alto Adige",167,2021-08-20
"Umbria",130,2021-08-20
"Valle d'Aosta",33,2021-08-20
"Veneto",1000,2021-08-20
"Abruzzo",183,2021-08-21
"Basilicata",90,2021-08-21
"Calabria",152,2021-08-21
"Campania",590,2021-08-21
